timestamp,updateId,source,sequenceNumber
1756384600274,75447506282,bookTicker,410
1756384600275,75447506283,bookTicker,411
1756384600299,75447506289,bookTicker,412
1756384600318,75447506293,bookTicker,413
1756384600319,75447506294,bookTicker,414
1756384600319,75447506295,bookTicker,415
1756384600321,75447506297,bookTicker,416
1756384600322,75447506298,bookTicker,417
1756384600323,75447506299,bookTicker,418
1756384600324,75447506301,bookTicker,419
1756384600325,75447506302,bookTicker,420
1756384600331,75447506303,bookTicker,421
1756384600333,75447506304,bookTicker,422
1756384600333,75447506305,bookTicker,423
1756384600342,75447506315,depth5,41
1756384600367,75447506327,bookTicker,424
1756384600368,75447506329,bookTicker,425
1756384600368,75447506331,bookTicker,426
1756384600369,75447506332,bookTicker,427
1756384600370,75447506333,bookTicker,428
1756384600419,75447506342,bookTicker,429
1756384600432,75447506344,bookTicker,430
1756384600433,75447506345,bookTicker,431
1756384600441,75447506352,depth5,42
1756384600466,75447506365,bookTicker,432
1756384600467,75447506369,bookTicker,433
1756384600467,75447506370,bookTicker,434
1756384600470,75447506372,bookTicker,435
1756384600542,75447506379,depth5,43
1756384600566,75447506388,bookTicker,436
1756384600566,75447506397,bookTicker,437
1756384600642,75447506403,depth5,44
1756384600667,75447506412,bookTicker,438
1756384600679,75447506417,bookTicker,439
1756384600684,75447506419,bookTicker,440
1756384600685,75447506420,bookTicker,441
1756384600685,75447506422,bookTicker,442
1756384600686,75447506425,bookTicker,443
1756384600686,75447506427,bookTicker,444
1756384600687,75447506428,bookTicker,445
1756384600687,75447506429,bookTicker,446
1756384600688,75447506430,bookTicker,447
1756384600688,75447506432,bookTicker,448
1756384600694,75447506437,bookTicker,449
1756384600719,75447506487,bookTicker,450
1756384600731,75447506493,bookTicker,451
1756384600741,75447506521,depth5,45
1756384600762,75447506520,bookTicker,452
1756384600767,75447506546,bookTicker,453
1756384600768,75447506553,bookTicker,454
1756384600769,75447506555,bookTicker,455
1756384600769,75447506556,bookTicker,456
1756384600769,75447506560,bookTicker,457
1756384600770,75447506568,bookTicker,458
1756384600770,75447506569,bookTicker,459
